단어,up,down,total,prob_up,prob_down,polarity_score
글로벌/NNG;완화/NNG,8,11,18,2.367871301459023e-06,4.504417810140428e-06,0.5256775461921911
약화/NNG,2317,2445,4761,0.000685794725685,0.0010012092314357,0.6849664427300806
출근/NNG,23,44,66,6.8076299916946914e-06,1.801767124056171e-05,0.3778307363256374
렌치/NNG,4,22,25,1.1839356507295115e-06,9.008835620280857e-06,0.1314193865480477
박수/NNG,34,32,65,1.0063453031200847e-05,1.3103760902226695e-05,0.7679820401401543
대략/MAG,63,66,128,1.8646986498989807e-05,2.7026506860842565e-05,0.6899517793772509
항로/NNG,14,15,28,4.143774777553291e-06,6.142387922918765e-06,0.6746195176133121
전송/NNG,271,273,543,8.02116403369244e-05,0.0001117914601971,0.7175113393767957
총액/NNG,214,258,471,6.334055731402887e-05,0.0001056490722742,0.599537278942063
구제금융안/NNG,6,37,42,1.7759034760942673e-06,1.515122354319962e-05,0.1172118852996101
지극히/MAG,11,12,22,3.255823039506157e-06,4.913910338335011e-06,0.6625727405130744
작성/NNG,1549,1539,3087,0.000458479080745,0.0006302090008914,0.7275032252736148
제로금리정책/NNG,12,20,31,3.5518069521885345e-06,8.189850563891686e-06,0.4336839756085577
영업자산/NNG,31,46,76,9.175501293153715e-06,1.883665629695088e-05,0.487108813183525
풍림/NNG,7,15,21,2.0718873887766454e-06,6.142387922918765e-06,0.337309758806656
이루어진다면/VV,6,19,24,1.7759034760942673e-06,7.780358035697102e-06,0.228254724004504
유통산업/NNG,14,16,29,4.143774777553291e-06,6.5518804511133485e-06,0.6324557977624801
제너럴/NNG,24,27,50,7.103613904377069e-06,1.1056298261253776e-05,0.6424947786793448
장내거래/NNG,12,13,24,3.5518069521885345e-06,5.323402866529596e-06,0.667206116320858
채인/VV,11,11,21,3.255823039506157e-06,4.504417810140428e-06,0.7228066260142628
어차피/MAG,28,27,54,8.287549555106581e-06,1.1056298261253776e-05,0.749577241792569
역전/NNG,675,779,1453,0.0001997891410606,0.0003189946794635,0.6263086939147978
합작/NNG,11,13,23,3.255823039506157e-06,5.323402866529596e-06,0.6116056066274532
엇갈려/VV,12,16,27,3.5518069521885345e-06,6.5518804511133485e-06,0.5421049695106972
부채/NNG;위험/NNG,7,15,21,2.0718873887766454e-06,6.142387922918765e-06,0.337309758806656
자원배분/NNG,25,29,53,7.399597817059448e-06,1.1875283317642944e-05,0.6231091603571232
발권력/NNG,19,39,57,5.62369434096518e-06,1.597020859958879e-05,0.3521365613915639
총장/NNG,24,25,48,7.103613904377069e-06,1.0237313204864608e-05,0.6938943609736924
갭투자/NNG,5,18,22,1.4799195634118894e-06,7.370865507502517e-06,0.2007796183372952
장부가액/NNG,8,10,17,2.367871301459023e-06,4.094925281945843e-06,0.5782453008114103
추경안/NNG,15,17,31,4.439758690235668e-06,6.961372979307933e-06,0.637770552365526
우려/NNG;점증/NNG,6,12,17,1.7759034760942673e-06,4.913910338335011e-06,0.3614033130071314
동영상/NNG,8,17,24,2.367871301459023e-06,6.961372979307933e-06,0.3401442945949472
조사국/NNG,83,86,168,2.4566664752637364e-05,3.521635742473425e-05,0.6975924413858583
대출/NNG;규제/NNG;강화/NNG,11,13,23,3.255823039506157e-06,5.323402866529596e-06,0.6116056066274532
보육료/NNG,6,22,27,1.7759034760942673e-06,9.008835620280857e-06,0.1971290798220716
점심/NNG,22,24,45,6.511646079012314e-06,9.827820676670024e-06,0.6625727405130744
일단락/NNG,101,110,210,2.9894375180920167e-05,4.504417810140428e-05,0.6636679020676414
다자녀/NNG,28,43,70,8.287549555106581e-06,1.7608178712367125e-05,0.4706647797302177
관망세/NNG,264,263,526,7.813975294814777e-05,0.0001076965349151,0.7255549401816176
주대/NNG,13,22,34,3.847790864870912e-06,9.008835620280857e-06,0.4271130062811553
경기민감/NNG,12,25,36,3.5518069521885345e-06,1.0237313204864608e-05,0.3469471804868462
수축/NNG,27,31,57,7.991565642424203e-06,1.2694268374032111e-05,0.6295412549156483
인내/NNG,19,20,38,5.62369434096518e-06,8.189850563891686e-06,0.6866662947135498
요금/NNG;상승/NNG,13,16,28,3.847790864870912e-06,6.5518804511133485e-06,0.5872803836365885
좌하/NNG,13,14,26,3.847790864870912e-06,5.73289539472418e-06,0.6711775812989583
공적연금/NNG,14,25,38,4.143774777553291e-06,1.0237313204864608e-05,0.4047717105679873
사분면/NNG,3,17,19,8.879517380471336e-07,6.961372979307933e-06,0.1275541104731052
수요/NNG;물가/NNG;상승/NNG;압력/NNG,12,12,23,3.5518069521885345e-06,4.913910338335011e-06,0.7228066260142629
투자성향/NNG,31,31,61,9.175501293153715e-06,1.2694268374032111e-05,0.7228066260142629
가솔린/NNG,7,14,20,2.0718873887766454e-06,5.73289539472418e-06,0.3614033130071314
해성/NNG,7,17,23,2.0718873887766454e-06,6.961372979307933e-06,0.2976262577705788
정책회의/NNG,34,42,75,1.0063453031200847e-05,1.719868618417254e-05,0.5851291734401176
지속성/NNG,141,141,281,4.173373168821528e-05,5.773844647543638e-05,0.7228066260142629
투자이익/NNG,41,39,79,1.2135340419977494e-05,1.597020859958879e-05,0.7598736324765327
순유/NNG,36,43,78,1.0655420856565604e-05,1.7608178712367125e-05,0.6051404310817085
미화/NNG,10,25,34,2.9598391268237788e-06,1.0237313204864608e-05,0.2891226504057052
crs/NNG,2124,2464,4587,0.0006286698305373,0.0010089895894714,0.6230686987233338
업력/NNG,18,32,49,5.327710428282802e-06,1.3103760902226695e-05,0.4065787271330229
실익/NNG,18,21,38,5.327710428282802e-06,8.59934309208627e-06,0.6195485365836539
가중/NNG,422,427,848,0.0001249052111519,0.000174853309539,0.7143428481920819
쫓아가/VV,9,11,19,2.663855214141401e-06,4.504417810140428e-06,0.5913872394662151
비춰/VV,15,18,32,4.439758690235668e-06,7.370865507502517e-06,0.6023388550118858
개진/NNG,244,251,494,7.22200746945002e-05,0.0001027826245768,0.7026486723007176
특별히/MAG,26,52,77,7.695581729741824e-06,2.1293611466118384e-05,0.3614033130071314
자금/NNG;부담/NNG,16,30,45,4.735742602918046e-06,1.228477584583753e-05,0.3854968672076068
예상/NNG;약하/VA,9,13,21,2.663855214141401e-06,5.323402866529596e-06,0.5004045872406435
금리/NNG;인하/NNG;금리/NNG;인하/NNG,29,31,59,8.583533467788958e-06,1.2694268374032111e-05,0.6761739404649556
금리/NNG;저점/NNG,18,27,44,5.327710428282802e-06,1.1056298261253776e-05,0.4818710840095086
여수신/NNG,71,92,162,2.101485780044883e-05,3.767331259390176e-05,0.5578181570327463
환시/NNG,93,89,181,2.7526503879461143e-05,3.6444835009318e-05,0.7552923170710837
가운/NNG,39,41,79,1.1543372594612738e-05,1.6789193655977957e-05,0.6875477662086891
하락시/NNG,96,109,204,2.841445561750828e-05,4.4634685573209686e-05,0.6366003311685251
놓였/VV,10,10,19,2.9598391268237788e-06,4.094925281945843e-06,0.7228066260142629
잠재우/VV,14,20,33,4.143774777553291e-06,8.189850563891686e-06,0.505964638209984
갇혀/VV,17,16,32,5.031726515600424e-06,6.5518804511133485e-06,0.7679820401401543
반사이익/NNG,45,49,93,1.3319276070707004e-05,2.006513388153463e-05,0.6638020034824863
사무처장/NNG,12,14,25,3.5518069521885345e-06,5.73289539472418e-06,0.6195485365836539
채권투자/NNG,1122,1256,2377,0.0003320939500296,0.0005143226154123,0.645691906359875
의도/NNG,154,152,305,4.558152255308619e-05,6.224286428557681e-05,0.7323172395144505
fed/NNG;인플레이션/NNG;둔화/NNG,11,12,22,3.255823039506157e-06,4.913910338335011e-06,0.6625727405130744
ecb/NNG,2848,3116,5963,0.0008429621833194,0.0012759787178543,0.6606396889886459
세계/NNG;교역/NNG;둔화/NNG,7,12,18,2.0718873887766454e-06,4.913910338335011e-06,0.42163719850832
청구권/NNG,15,37,51,4.439758690235668e-06,1.515122354319962e-05,0.2930297132490255
중장기영역/NNG,50,51,100,1.4799195634118895e-05,2.08841189379238e-05,0.7086339470728068
달달/MAG,11,15,25,3.255823039506157e-06,6.142387922918765e-06,0.5300581924104595
첨부/NNG,9,20,28,2.663855214141401e-06,8.189850563891686e-06,0.3252629817064183
아카데미/NNG,16,36,51,4.735742602918046e-06,1.4741731015005034e-05,0.3212473893396724
경제/NNG;충격/NNG,17,17,33,5.031726515600424e-06,6.961372979307933e-06,0.7228066260142628
번호/NNG,36,50,85,1.0655420856565604e-05,2.0474626409729213e-05,0.5204207707302694
전망/NNG;인하/NNG,13,30,42,3.847790864870912e-06,1.228477584583753e-05,0.3132162046061805
신흥국/NNG,2520,3478,5997,0.0007458794599595,0.0014242150130607,0.5237126789982584
대출/NNG;증가/NNG,23,30,52,6.8076299916946914e-06,1.228477584583753e-05,0.5541517466109348
고신용자/NNG,5,14,18,1.4799195634118894e-06,5.73289539472418e-06,0.2581452235765225
개선/NNG;제약/NNG,9,9,17,2.663855214141401e-06,3.6854327537512585e-06,0.7228066260142629
금리/NNG;상승/NNG;압박/NNG,9,9,17,2.663855214141401e-06,3.6854327537512585e-06,0.7228066260142629
발행비중/NNG,103,102,204,3.048634300628492e-05,4.17682378758476e-05,0.7298929654849909
농업금융/NNG,12,15,26,3.5518069521885345e-06,6.142387922918765e-06,0.5782453008114102
청정/NNG,14,16,29,4.143774777553291e-06,6.5518804511133485e-06,0.6324557977624801
퇴장/NNG,15,16,30,4.439758690235668e-06,6.5518804511133485e-06,0.6776312118883715
기재/NNG,285,288,572,8.435541511447769e-05,0.00011793384812,0.7152773903266143
매입자금/NNG,9,14,22,2.663855214141401e-06,5.73289539472418e-06,0.4646614024377404
노동력/NNG,54,65,118,1.5983131284848406e-05,2.661701433264798e-05,0.6004855046887723
삼각/NNG,12,12,23,3.5518069521885345e-06,4.913910338335011e-06,0.7228066260142629
매매계약/NNG,22,26,47,6.511646079012314e-06,1.0646805733059192e-05,0.6116056066274532
융자/NNG,351,336,686,0.0001038903533515,0.0001375894894733,0.7550747789613282
세일즈/NNG,24,29,52,7.103613904377069e-06,1.1875283317642944e-05,0.5981847939428382
경기/NNG;바닥/NNG,29,34,62,8.583533467788958e-06,1.3922745958615866e-05,0.6165115339533418
원화/NNG;절상/NNG;압력/NNG,14,19,32,4.143774777553291e-06,7.780358035697102e-06,0.5325943560105095
순매수금액/NNG,153,171,323,4.5285538640403816e-05,7.002322232127392e-05,0.6467217180127615
불량/NNG,11,16,26,3.255823039506157e-06,6.5518804511133485e-06,0.4969295553848057
경제/NNG;성장률/NNG;회복/NNG,7,13,19,2.0718873887766454e-06,5.323402866529596e-06,0.3892035678538338
금융중개지원대출/NNG,55,78,132,1.6279115197530783e-05,3.194041719917758e-05,0.509671338856211
기업회생절차/NNG,13,15,27,3.847790864870912e-06,6.142387922918765e-06,0.6264324092123611
군부대/NNG,8,13,20,2.367871301459023e-06,5.323402866529596e-06,0.4448040775472386
일본식/NNG,12,33,44,3.5518069521885345e-06,1.3513253430421284e-05,0.2628387730960955
완만/NNG;금리/NNG;인상/NNG,13,16,28,3.847790864870912e-06,6.5518804511133485e-06,0.5872803836365885
안정성/NNG;강화/NNG,9,16,24,2.663855214141401e-06,6.5518804511133485e-06,0.4065787271330229
얽매이/VV,5,13,17,1.4799195634118894e-06,5.323402866529596e-06,0.2780025484670241
여지/NNG,161,156,316,4.765340994186284e-05,6.388083439835516e-05,0.7459735050531815
의구심/NNG,240,240,479,7.10361390437707e-05,9.827820676670023e-05,0.7228066260142628
낙수효과/NNG,26,37,62,7.695581729741824e-06,1.515122354319962e-05,0.5079181696316442
일비/NNG,524,626,1149,0.0001550955702455,0.0002563423226498,0.6050330224144949
