단어,up,down,total,prob_up,prob_down,polarity_score
금리/NNG;가격/NNG;반대/NNG,354,128,481,0.0001047783050895,5.241504360890679e-05,1.999012075070696
대출/NNG;늘/VV,36,17,52,1.0655420856565604e-05,6.961372979307933e-06,1.5306493256772626
공급면적/NNG,16,5,20,4.735742602918046e-06,2.0474626409729214e-06,2.3129812032456414
그냥/MAG,70,34,103,2.071887388776645e-05,1.3922745958615866e-05,1.488131288852894
유통사업/NNG,16,2,17,4.735742602918046e-06,8.189850563891686e-07,5.782453008114104
심판/NNG,76,18,93,2.249477736386072e-05,7.370865507502517e-06,3.051850198726888
물가/NNG;예상/NNG;웃돌/VV,19,2,20,5.62369434096518e-06,8.189850563891686e-07,6.866662947135498
지배적/VAX,140,70,209,4.14377477755329e-05,2.86644769736209e-05,1.4456132520285256
표지어음/NNG,17,8,24,5.031726515600424e-06,3.2759402255566742e-06,1.5359640802803085
쏟아질/VV,31,5,35,9.175501293153715e-06,2.0474626409729214e-06,4.48140108128843
기자/NNG,6216,2286,8501,0.0018398360012336,0.0009360999194528,1.9654269410781533
업과/NNG,26,12,37,7.695581729741824e-06,4.913910338335011e-06,1.5660810230309028
스태그플레이션/NNG;경기/NNG;침체/NNG,14,4,17,4.143774777553291e-06,1.6379701127783371e-06,2.5298231910499203
끼치/VV,116,62,177,3.433413387115583e-05,2.5388536748064223e-05,1.3523478809299112
인하/NNG;줄/VV,35,17,51,1.0359436943883226e-05,6.961372979307933e-06,1.488131288852894
차익/NNG,564,262,825,0.0001669349267528,0.0001072870423869,1.5559654086719246
진행하/VV,93,51,143,2.7526503879461143e-05,2.08841189379238e-05,1.3180591415554206
gdp/NNG;예상/NNG;상회/NNG,15,5,19,4.439758690235668e-06,2.0474626409729214e-06,2.168419878042789
정말/MAG,95,47,141,2.81184717048259e-05,1.9246148825145463e-05,1.4609921164118078
개별종목/NNG,55,30,84,1.6279115197530783e-05,1.228477584583753e-05,1.3251454810261485
후방/NNG,18,2,19,5.327710428282802e-06,8.189850563891686e-07,6.505259634128366
건전성/NNG;강화/NNG,19,8,26,5.62369434096518e-06,3.2759402255566742e-06,1.7166657367838745
최남단/NNG,16,4,19,4.735742602918046e-06,1.6379701127783371e-06,2.891226504057052
관례/NNG,16,3,18,4.735742602918046e-06,1.2284775845837528e-06,3.854968672076069
대출/NNG;성장/NNG,13,6,18,3.847790864870912e-06,2.4569551691675057e-06,1.5660810230309028
허리띠/NNG,14,4,17,4.143774777553291e-06,1.6379701127783371e-06,2.5298231910499203
브랜드가치/NNG,43,6,48,1.2727308245342247e-05,2.4569551691675057e-06,5.180114153102218
전망/NNG;상회/NNG,124,27,150,3.670200517261486e-05,1.1056298261253776e-05,3.319556356509948
와서/VV,37,17,53,1.095140476924798e-05,6.961372979307933e-06,1.573167362501631
종일/NNG,23,8,30,6.8076299916946914e-06,3.2759402255566742e-06,2.0780690497910057
구매자금/NNG,22,3,24,6.511646079012314e-06,1.2284775845837528e-06,5.300581924104595
저지선/NNG,20,3,22,5.9196782536475576e-06,1.2284775845837528e-06,4.818710840095086
본관/NNG,68,23,90,2.012690606240169e-05,9.41832814847544e-06,2.13699350299869
가격/NNG;변동성/NNG;확대/NNG,25,10,34,7.399597817059448e-06,4.094925281945843e-06,1.807016565035657
예상/NNG;늦/VA,28,9,36,8.287549555106581e-06,3.6854327537512585e-06,2.248731725377707
내다본다/VV,17,5,21,5.031726515600424e-06,2.0474626409729214e-06,2.457542528448493
통방/NNG,68,19,86,2.012690606240169e-05,7.780358035697102e-06,2.586886872051046
외화대출/NNG;감소/NNG,14,5,18,4.143774777553291e-06,2.0474626409729214e-06,2.023858552839936
실천/NNG,146,63,208,4.321365125162717e-05,2.579802927625881e-05,1.6750756729854346
부활절/NNG,31,1,31,9.175501293153715e-06,4.094925281945843e-07,22.40700540644216
헬리콥터머니/NNG,14,5,18,4.143774777553291e-06,2.0474626409729214e-06,2.023858552839936
비농업/NNG;고용/NNG;늘/VV,35,10,44,1.0359436943883226e-05,4.094925281945843e-06,2.5298231910499203
하락/NNG;확대/NNG,93,40,132,2.7526503879461143e-05,1.637970112778337e-05,1.680525405483161
